"region","Value"
"Argentina",0.00763457827270031
"Bangladesh",-2.0813808441
"Brazil",-0.044694043696
"Central America",-0.17958281934
"Canada",0.00421739090234041
"China",-0.29308238626
"Colombia",0.050142563879
"Rest of E Asia",0.011054211296
"Egypt",-0.54422402382
"Ethiopia",-0.32532665133
"EU",0.00175774202216417
"Indonesia",-0.35774037242
"India",-0.17929404974
"Japan",-0.039166405797
"Korea",-0.11100675911
"Morroco",0.2476426512
"Madagascar",-1.0554507971
"M East N Africa",0.073612675071
"Mexico",0.00870550330728292
"Malaysia",-0.37189304829
"Nigeria",-0.077327623963
"Oceania",0.082170508802
"C Asia",-0.021261498332
"Other Europe",-0.069630347192
"Pakistan",0.19437851012
"Phiilippines",0.26208159328
"Poland",-0.086878977716
"Rest of S Asia",-0.51466065645
"Rest of SE Asia",-0.16299690306
"Russia",0.060096152127
"S America",-0.071038194001
"SS Africa",0.032336525619
"Turkey",-0.07238534838
"USA",-0.00707269972190261
"Vietnam",-0.091372549534
"Angola+DRC",1.2638400793
"South Africa",-0.016935775056
"World",-0.07194468379
