"region","Value"
"Argentina",-2.4515075684
"Bangladesh",-15.437130928
"Brazil",-3.6735727787
"Central America",-2.5251114368
"Canada",-0.6195088625
"China",-3.1422388554
"Colombia",-1.8436008692
"Rest of E Asia",-0.21584427357
"Egypt",-4.1618518829
"Ethiopia",-12.395530701
"EU",-0.35538008809
"Indonesia",-6.8281722069
"India",-3.9340577126
"Japan",-0.62992399931
"Korea",-1.2146773338
"Morroco",-2.6140401363
"Madagascar",-157.32687378
"M East N Africa",-1.1901353598
"Mexico",-0.85340380669
"Malaysia",-4.2177619934
"Nigeria",-8.5420866013
"Oceania",-0.57681006193
"C Asia",-1.9674984217
"Other Europe",-1.0761643648
"Pakistan",-13.813931465
"Phiilippines",-7.94115448
"Poland",-0.74236172438
"Rest of S Asia",-5.1024475098
"Rest of SE Asia",-3.4817552567
"Russia",-0.41649103165
"S America",-3.3792033195
"SS Africa",-9.2891149521
"Turkey",-2.0617301464
"USA",-0.43385946751
"Vietnam",-8.6627120972
"Angola+DRC",-19.465463638
"South Africa",-0.26197063923
"World",-1.9421157837
