REGWLD,GDPS,SCEN,Value,,,,,
ARG,GDPpct,BAU,21.25099945,,Sum of Value,Column Labels,,
BGD,GDPpct,BAU,30.7859993,,,RealGDPvalch,RealGDPvalch Total,Grand Total
BRAZIL,GDPpct,BAU,19.82999992,,Row Labels,BAU_aESRigid,,
C_C_Amer,GDPpct,BAU,27.49200058,,MAR,351.1328125,351.1328125,351.1328125
CAN,GDPpct,BAU,21.4640007,,ARG,55.39983749,55.39983749,55.39983749
CHIHKG,GDPpct,BAU,51.02299881,,BGD,-6263.571777,-6263.571777,-6263.571777
COL,GDPpct,BAU,14.58300018,,BRAZIL,-1480.557739,-1480.557739,-1480.557739
E_Asia,GDPpct,BAU,47.41400147,,C_C_Amer,-1379.721802,-1379.721802,-1379.721802
EGY,GDPpct,BAU,42.67699814,,CAN,161.4230957,161.4230957,161.4230957
ETH,GDPpct,BAU,29.21199989,,CHIHKG,-57590.10938,-57590.10938,-57590.10938
EU27,GDPpct,BAU,13.35700035,,COL,303.2727661,303.2727661,303.2727661
IDN,GDPpct,BAU,23.43799973,,E_Asia,19.86248207,19.86248207,19.86248207
INDIA,GDPpct,BAU,44.7859993,,EGY,-3082.670166,-3082.670166,-3082.670166
JAPAN,GDPpct,BAU,10.29599953,,ETH,-318.5664368,-318.5664368,-318.5664368
KOR,GDPpct,BAU,27.95899963,,EU27,-778.668335,-778.668335,-778.668335
MAR,GDPpct,BAU,25.625,,IDN,-3941.983398,-3941.983398,-3941.983398
MDG,GDPpct,BAU,18.82900047,,INDIA,-5526.184082,-5526.184082,-5526.184082
MEAS_NAfr,GDPpct,BAU,17.27599907,,JAPAN,-1897.144409,-1897.144409,-1897.144409
MEX,GDPpct,BAU,21.48399925,,KOR,-2203.844238,-2203.844238,-2203.844238
MYS,GDPpct,BAU,29.22800064,,MDG,-198.6408844,-198.6408844,-198.6408844
NGA,GDPpct,BAU,55.09400177,,MEAS_NAfr,3988.084717,3988.084717,3988.084717
Oceania,GDPpct,BAU,24.14100075,,MEX,36.6056366,36.6056366,36.6056366
Oth_CEE_CIS,GDPpct,BAU,37.28099823,,MYS,-1860.791748,-1860.791748,-1860.791748
Oth_Europe,GDPpct,BAU,14.09799957,,NGA,-1201.359619,-1201.359619,-1201.359619
PAK,GDPpct,BAU,27.98500061,,Oceania,2719.998779,2719.998779,2719.998779
PHL,GDPpct,BAU,40.11000061,,Oth_CEE_CIS,-217.8933716,-217.8933716,-217.8933716
POL,GDPpct,BAU,30.65500069,,Oth_Europe,-1007.743225,-1007.743225,-1007.743225
R_S_Asia,GDPpct,BAU,29.81500053,,PAK,451.1101074,451.1101074,451.1101074
R_SE_Asia,GDPpct,BAU,26.80200005,,PHL,1261.577393,1261.577393,1261.577393
Russia,GDPpct,BAU,26.56299973,,POL,-724.9813232,-724.9813232,-724.9813232
S_o_Amer,GDPpct,BAU,20.12599945,,R_S_Asia,-991.0960083,-991.0960083,-991.0960083
S_S_AFR,GDPpct,BAU,38.5530014,,R_SE_Asia,-1684.954102,-1684.954102,-1684.954102
TUR,GDPpct,BAU,35.29800034,,Russia,2261.927979,2261.927979,2261.927979
USA,GDPpct,BAU,13.04100037,,S_o_Amer,-1103.083618,-1103.083618,-1103.083618
VNM,GDPpct,BAU,36.95199966,,S_S_AFR,450.3258972,450.3258972,450.3258972
XAC,GDPpct,BAU,49.68700028,,TUR,-899.1259766,-899.1259766,-899.1259766
ZAF,GDPpct,BAU,26.15399933,,USA,-1737.168945,-1737.168945,-1737.168945
World,GDPpct,BAU,23.10112381,,VNM,-301.5571899,-301.5571899,-301.5571899
ARG,RealGDPvalch,BAU,116466.2031,,XAC,5896.958984,5896.958984,5896.958984
BGD,RealGDPvalch,BAU,53224.42188,,ZAF,-80.43305206,-80.43305206,-80.43305206
BRAZIL,RealGDPvalch,BAU,479300.5313,,Grand Total,-78514.17034,-78514.17034,-78514.17034
C_C_Amer,RealGDPvalch,BAU,152914.2969,,,,,
CAN,RealGDPvalch,BAU,382870.375,,,,,
CHIHKG,RealGDPvalch,BAU,5700457,,,,,
COL,RealGDPvalch,BAU,55184.36328,,,,,
E_Asia,RealGDPvalch,BAU,40368.00781,,,,,
EGY,RealGDPvalch,BAU,128670.7969,,,,,
ETH,RealGDPvalch,BAU,16245.40625,,,,,
EU27,RealGDPvalch,BAU,2394980.25,,,,,
IDN,RealGDPvalch,BAU,208710.8906,,,,,
INDIA,RealGDPvalch,BAU,914727.0625,,,,,
JAPAN,RealGDPvalch,BAU,473221,,,,,
KOR,RealGDPvalch,BAU,394588.9063,,,,,
MAR,RealGDPvalch,BAU,28189.84961,,,,,
MDG,RealGDPvalch,BAU,2073.281738,,,,,
MEAS_NAfr,RealGDPvalch,BAU,529891.5,,,,,
MEX,RealGDPvalch,BAU,278829.6875,,,,,
MYS,RealGDPvalch,BAU,98821.00781,,,,,
NGA,RealGDPvalch,BAU,313205.9375,,,,,
Oceania,RealGDPvalch,BAU,411832.625,,,,,
Oth_CEE_CIS,RealGDPvalch,BAU,317961.4375,,,,,
Oth_Europe,RealGDPvalch,BAU,173511,,,,,
PAK,RealGDPvalch,BAU,68110.73438,,,,,
PHL,RealGDPvalch,BAU,114224.0547,,,,,
POL,RealGDPvalch,BAU,167063.6094,,,,,
R_S_Asia,RealGDPvalch,BAU,37230.12109,,,,,
R_SE_Asia,RealGDPvalch,BAU,220877.2344,,,,,
Russia,RealGDPvalch,BAU,539486.5625,,,,,
S_o_Amer,RealGDPvalch,BAU,242952.0625,,,,,
S_S_AFR,RealGDPvalch,BAU,231005.1875,,,,,
TUR,RealGDPvalch,BAU,281958.3438,,,,,
USA,RealGDPvalch,BAU,2262366.75,,,,,
VNM,RealGDPvalch,BAU,68806.48438,,,,,
XAC,RealGDPvalch,BAU,79279.40625,,,,,
ZAF,RealGDPvalch,BAU,91505.24219,,,,,
World,RealGDPvalch,BAU,18071112,,,,,
ARG,NomGDPvalch,BAU,59683.6875,,,,,
BGD,NomGDPvalch,BAU,38885.78125,,,,,
BRAZIL,NomGDPvalch,BAU,293656.5,,,,,
C_C_Amer,NomGDPvalch,BAU,83971.375,,,,,
CAN,NomGDPvalch,BAU,266256.25,,,,,
CHIHKG,NomGDPvalch,BAU,3277696,,,,,
COL,NomGDPvalch,BAU,44709.40625,,,,,
E_Asia,NomGDPvalch,BAU,26870.5,,,,,
EGY,NomGDPvalch,BAU,92231.4375,,,,,
ETH,NomGDPvalch,BAU,13448.59766,,,,,
EU27,NomGDPvalch,BAU,895308,,,,,
IDN,NomGDPvalch,BAU,113901.8125,,,,,
INDIA,NomGDPvalch,BAU,481527,,,,,
JAPAN,NomGDPvalch,BAU,58921,,,,,
KOR,NomGDPvalch,BAU,210805.375,,,,,
MAR,NomGDPvalch,BAU,16926.82031,,,,,
MDG,NomGDPvalch,BAU,2050.268555,,,,,
MEAS_NAfr,NomGDPvalch,BAU,399814.25,,,,,
MEX,NomGDPvalch,BAU,132894,,,,,
MYS,NomGDPvalch,BAU,58831.84375,,,,,
NGA,NomGDPvalch,BAU,264639.75,,,,,
Oceania,NomGDPvalch,BAU,344401.5,,,,,
Oth_CEE_CIS,NomGDPvalch,BAU,211787.6875,,,,,
Oth_Europe,NomGDPvalch,BAU,100466.875,,,,,
PAK,NomGDPvalch,BAU,17150.53125,,,,,
PHL,NomGDPvalch,BAU,81457.90625,,,,,
POL,NomGDPvalch,BAU,94458.75,,,,,
R_S_Asia,NomGDPvalch,BAU,25776.53125,,,,,
R_SE_Asia,NomGDPvalch,BAU,98550.125,,,,,
Russia,NomGDPvalch,BAU,411605.5,,,,,
S_o_Amer,NomGDPvalch,BAU,161934.5,,,,,
S_S_AFR,NomGDPvalch,BAU,173910.3125,,,,,
TUR,NomGDPvalch,BAU,161005.875,,,,,
USA,NomGDPvalch,BAU,1346420,,,,,
VNM,NomGDPvalch,BAU,48133.35938,,,,,
XAC,NomGDPvalch,BAU,74973.64063,,,,,
ZAF,NomGDPvalch,BAU,51732.1875,,,,,
World,NomGDPvalch,BAU,10236795,,,,,
ARG,GDPpct,BAU_noES,28.11398125,,,,,
BGD,GDPpct,BAU_noES,41.2047081,,,,,
BRAZIL,GDPpct,BAU_noES,26.19335365,,,,,
C_C_Amer,GDPpct,BAU_noES,36.65719605,,,,,
CAN,GDPpct,BAU_noES,28.41492653,,,,,
CHIHKG,GDPpct,BAU_noES,69.88375092,,,,,
COL,GDPpct,BAU_noES,19.14597893,,,,,
E_Asia,GDPpct,BAU_noES,64.67635346,,,,,
EGY,GDPpct,BAU_noES,57.58211517,,,,,
ETH,GDPpct,BAU_noES,39.02702713,,,,,
EU27,GDPpct,BAU_noES,17.49453735,,,,,
IDN,GDPpct,BAU_noES,31.1667099,,,,,
INDIA,GDPpct,BAU_noES,60.89134979,,,,,
JAPAN,GDPpct,BAU_noES,13.4353199,,,,,
KOR,GDPpct,BAU_noES,37.3080101,,,,,
MAR,GDPpct,BAU_noES,34.09243012,,,,,
MDG,GDPpct,BAU_noES,24.86005402,,,,,
MEAS_NAfr,GDPpct,BAU_noES,22.77800751,,,,,
MEX,GDPpct,BAU_noES,28.42950249,,,,,
MYS,GDPpct,BAU_noES,39.05698395,,,,,
NGA,GDPpct,BAU_noES,75.71537018,,,,,
Oceania,GDPpct,BAU_noES,32.06585693,,,,,
Oth_CEE_CIS,GDPpct,BAU_noES,50.28046417,,,,,
Oth_Europe,GDPpct,BAU_noES,18.49546814,,,,,
PAK,GDPpct,BAU_noES,37.33770371,,,,,
PHL,GDPpct,BAU_noES,54.26920319,,,,,
POL,GDPpct,BAU_noES,41.03194046,,,,,
R_S_Asia,GDPpct,BAU_noES,39.86370468,,,,,
R_SE_Asia,GDPpct,BAU_noES,35.71766281,,,,,
Russia,GDPpct,BAU_noES,35.3819809,,,,,
S_o_Amer,GDPpct,BAU_noES,26.60461235,,,,,
S_S_AFR,GDPpct,BAU_noES,52.0674057,,,,,
TUR,GDPpct,BAU_noES,47.50395203,,,,,
USA,GDPpct,BAU_noES,17.07769013,,,,,
VNM,GDPpct,BAU_noES,49.81460571,,,,,
XAC,GDPpct,BAU_noES,67.97342682,,,,,
ZAF,GDPpct,BAU_noES,34.81697464,,,,,
World,GDPpct,BAU_noES,32.52893829,,,,,
ARG,RealGDPvalch,BAU_noES,170858.2813,,,,,
BGD,RealGDPvalch,BAU_noES,87259.60156,,,,,
BRAZIL,RealGDPvalch,BAU_noES,710024.1875,,,,,
C_C_Amer,RealGDPvalch,BAU_noES,234673.9219,,,,,
CAN,RealGDPvalch,BAU_noES,582516.0625,,,,,
CHIHKG,RealGDPvalch,BAU_noES,10098219,,,,,
COL,RealGDPvalch,BAU_noES,81011.44531,,,,,
E_Asia,RealGDPvalch,BAU_noES,72443.9375,,,,,
EGY,RealGDPvalch,BAU_noES,226718.4219,,,,,
ETH,RealGDPvalch,BAU_noES,26952.33594,,,,,
EU27,RealGDPvalch,BAU_noES,3293492.5,,,,,
IDN,RealGDPvalch,BAU_noES,313033,,,,,
INDIA,RealGDPvalch,BAU_noES,1536877.375,,,,,
JAPAN,RealGDPvalch,BAU_noES,625425.5,,,,,
KOR,RealGDPvalch,BAU_noES,605180,,,,,
MAR,RealGDPvalch,BAU_noES,43275.5625,,,,,
MDG,RealGDPvalch,BAU_noES,3247.065918,,,,,
MEAS_NAfr,RealGDPvalch,BAU_noES,789719.375,,,,,
MEX,RealGDPvalch,BAU_noES,406752.875,,,,,
MYS,RealGDPvalch,BAU_noES,155031.125,,,,,
NGA,RealGDPvalch,BAU_noES,630810.0625,,,,,
Oceania,RealGDPvalch,BAU_noES,657461.75,,,,,
Oth_CEE_CIS,RealGDPvalch,BAU_noES,535318.875,,,,,
Oth_Europe,RealGDPvalch,BAU_noES,246214.6563,,,,,
PAK,RealGDPvalch,BAU_noES,97277.23438,,,,,
PHL,RealGDPvalch,BAU_noES,198752.75,,,,,
POL,RealGDPvalch,BAU_noES,262374.125,,,,,
R_S_Asia,RealGDPvalch,BAU_noES,60053.45703,,,,,
R_SE_Asia,RealGDPvalch,BAU_noES,329551.6563,,,,,
Russia,RealGDPvalch,BAU_noES,864231.6875,,,,,
S_o_Amer,RealGDPvalch,BAU_noES,364241.0313,,,,,
S_S_AFR,RealGDPvalch,BAU_noES,402532.5313,,,,,
TUR,RealGDPvalch,BAU_noES,455942.9063,,,,,
USA,RealGDPvalch,BAU_noES,3192594,,,,,
VNM,RealGDPvalch,BAU_noES,116734.7422,,,,,
XAC,RealGDPvalch,BAU_noES,159418.9531,,,,,
ZAF,RealGDPvalch,BAU_noES,139826.0469,,,,,
World,RealGDPvalch,BAU_noES,28776048,,,,,
ARG,NomGDPvalch,BAU_noES,62342.8125,,,,,
BGD,NomGDPvalch,BAU_noES,78530.15625,,,,,
BRAZIL,NomGDPvalch,BAU_noES,456254,,,,,
C_C_Amer,NomGDPvalch,BAU_noES,93914.625,,,,,
CAN,NomGDPvalch,BAU_noES,551258.125,,,,,
CHIHKG,NomGDPvalch,BAU_noES,4580844,,,,,
COL,NomGDPvalch,BAU_noES,134803.2188,,,,,
E_Asia,NomGDPvalch,BAU_noES,52867.8125,,,,,
EGY,NomGDPvalch,BAU_noES,151979.125,,,,,
ETH,NomGDPvalch,BAU_noES,27498.64844,,,,,
EU27,NomGDPvalch,BAU_noES,733178,,,,,
IDN,NomGDPvalch,BAU_noES,159929.375,,,,,
INDIA,NomGDPvalch,BAU_noES,333730,,,,,
JAPAN,NomGDPvalch,BAU_noES,-233965.5,,,,,
KOR,NomGDPvalch,BAU_noES,121681.75,,,,,
MAR,NomGDPvalch,BAU_noES,20918.53906,,,,,
MDG,NomGDPvalch,BAU_noES,5541.763672,,,,,
MEAS_NAfr,NomGDPvalch,BAU_noES,1207783.25,,,,,
MEX,NomGDPvalch,BAU_noES,200342.75,,,,,
MYS,NomGDPvalch,BAU_noES,91167.03125,,,,,
NGA,NomGDPvalch,BAU_noES,708790.3125,,,,,
Oceania,NomGDPvalch,BAU_noES,896841.125,,,,,
Oth_CEE_CIS,NomGDPvalch,BAU_noES,398934.875,,,,,
Oth_Europe,NomGDPvalch,BAU_noES,220533.75,,,,,
PAK,NomGDPvalch,BAU_noES,-1917.78125,,,,,
PHL,NomGDPvalch,BAU_noES,127786.6875,,,,,
POL,NomGDPvalch,BAU_noES,110528.0625,,,,,
R_S_Asia,NomGDPvalch,BAU_noES,36147.90625,,,,,
R_SE_Asia,NomGDPvalch,BAU_noES,54531.3125,,,,,
Russia,NomGDPvalch,BAU_noES,1165876.5,,,,,
S_o_Amer,NomGDPvalch,BAU_noES,353758.75,,,,,
S_S_AFR,NomGDPvalch,BAU_noES,368202.875,,,,,
TUR,NomGDPvalch,BAU_noES,175025.1875,,,,,
USA,NomGDPvalch,BAU_noES,1792412,,,,,
VNM,NomGDPvalch,BAU_noES,93290.79688,,,,,
XAC,NomGDPvalch,BAU_noES,244557.0625,,,,,
ZAF,NomGDPvalch,BAU_noES,75008.6875,,,,,
World,NomGDPvalch,BAU_noES,15650908,,,,,
ARG,GDPpct,BAU_aES,7.63E-03,,,,,
BGD,GDPpct,BAU_aES,-2.081380844,,,,,
BRAZIL,GDPpct,BAU_aES,-0.044694044,,,,,
C_C_Amer,GDPpct,BAU_aES,-0.179582819,,,,,
CAN,GDPpct,BAU_aES,4.22E-03,,,,,
CHIHKG,GDPpct,BAU_aES,-0.293082386,,,,,
COL,GDPpct,BAU_aES,0.050142564,,,,,
E_Asia,GDPpct,BAU_aES,0.011054211,,,,,
EGY,GDPpct,BAU_aES,-0.544224024,,,,,
ETH,GDPpct,BAU_aES,-0.325326651,,,,,
