"CountryName","iso2","Year","scale20","S_GDPpercapitaUS","S_RealGDPgrowth","S_NetGGdebtGDP","S_GGbalanceGDP","S_NarrownetextdebtCARs","S_CurrentaccountbalanceGDP","ln_S_GDPpercapitaUS","ln_S_GDPpercapitaUS_Z","S_RealGDPgrowth_Z"
"Angola","AO",2020,5,2252.0516679197,-1.9465463638,17635.0325547109,-432.691350180577,34634079.6128328,-281.081539220238,7.71959693212237,7.71959693212237,-1.9465463638
"Argentina","AR",2020,2,9719.79031498008,-0.24515075684,93.9176793811072,-6.02191088840535,205.197294687637,-1.62852503258119,9.18191932468888,9.18191932468888,-0.24515075684
"Bangladesh","BD",2020,8,1507.35005378221,-1.5437130928,395.438602736212,-31.6796361840525,44379.1855116103,-32.8067408601751,7.31810845684305,7.31810845684305,-1.5437130928
"Brazil","BR",2020,8,8340.09619110371,-0.36735727787,72.5777689905077,-8.10867775934088,38.9700969821901,-5.32874811740663,9.02883002899176,9.02883002899176,-0.36735727787
"Canada","CA",2020,20,46066.2067647826,-0.06195088625,38.7344927958759,-1.21992796153321,117.671370560192,-2.4950915430518,10.7378349181994,10.7378349181994,-0.06195088625
"China","CN",2020,16,9681.61123073078,-0.31422388554,62.3555428793427,-4.82362777386094,-37.6176215619054,-1.80050401366961,9.17798361587511,9.17798361587511,-0.31422388554
"Colombia","CO",2020,11,6429.76437198279,-0.18436008692,44.5510547861905,-2.72785942269085,123.168801954301,-5.07929600777465,8.76869317145645,8.76869317145645,-0.18436008692
"Congo D.R.","CD",2020,4,476.917470882128,-1.9465463638,17573.7925547109,-432.991350180577,34633991.0728328,-287.651539220238,6.16734345890057,6.16734345890057,-1.9465463638
"Egypt","EG",2020,6,2961.84921611454,-0.41618518829,90.7274562072725,-10.7452852442313,121.36078386988,-5.51949339669221,7.99356908742616,7.99356908742616,-0.41618518829
"India","IN",2020,11,2051.93010088195,-0.39340577126,82.9431317454339,-9.79881934253141,51.6631814412172,-4.73995751464835,7.62653614181279,7.62653614181279,-0.39340577126
"Indonesia","ID",2020,12,3870.82358566434,-0.68281722069,42.3786872905799,-5.29665674557398,145.018595678235,-6.68958975051625,8.26122257621555,8.26122257621555,-0.68281722069
"Japan","JP",2020,16,40394.1545084477,-0.062992399931,151.451502035481,-3.11325979408673,-72.411136246923,2.93086333514234,10.6064403630956,10.6064403630956,-0.062992399931
"Korea","KR",2020,18,31582.7147808044,-0.12146773338,8.45587283968018,-0.0435412528928406,-40.2548560019958,2.26364070222367,10.3603652493081,10.3603652493081,-0.12146773338
"Malaysia","MY",2020,14,10770.7413985136,-0.42177619934,71.2425996624746,-5.97941225908235,67.1617456589916,-0.927365481096197,9.28458860701172,9.28458860701172,-0.42177619934
"Mexico","MX",2020,13,9873.41463531458,-0.085340380669,43.7129069219595,-2.73109469993913,41.3957076240461,-1.98192146755289,9.19760103362159,9.19760103362159,-0.085340380669
"Morocco","MA",2020,11,3245.13390896216,-0.26140401363,57.8850381004704,-5.12200969098561,50.7791362050292,-6.50120930784087,8.08491189453088,8.08491189453088,-0.26140401363
"Nigeria","NG",2020,6,1737.00527443347,-0.85420866013,29.2001870706629,-6.64730090695655,88.5920443278997,-2.70268384689548,7.45991780275548,7.45991780275548,-0.85420866013
"Pakistan","PK",2020,5,1187.76468490825,-1.3813931465,134.719469796393,-16.5552630989378,1647.20002946606,-15.6085419113785,7.07982840362626,7.07982840362626,-1.3813931465
"Poland","PL",2020,14,15325.4984589217,-0.074236172438,45.794647725134,-1.85088955737385,41.4543585941685,-1.40438251170646,9.6372732861431,9.6372732861431,-0.074236172438
"Russia","RU",2020,11,11393.9965538772,-0.041649103165,4.43164364699637,1.14997887952057,-67.35439703933,4.33889318420712,9.34084187758964,9.34084187758964,-0.041649103165
"South Africa","ZA",2020,9,6007.24145600505,-0.026197063923,58.6758466450051,-6.21057013787436,51.6889999276515,-4.24084970347848,8.70072092981477,8.70072092981477,-0.026197063923
"Turkey","TR",2020,7,8880.45468070533,-0.20617301464,33.726062859672,-4.22869065576434,131.11024471175,-1.29683022692225,9.09160803745753,9.09160803745753,-0.20617301464
"United States","US",2020,19,64570.8027205693,-0.043385946751,83.8554733817168,-5.17477958797034,318.784910771897,-1.79707854060658,11.0755176173315,11.0755176173315,-0.043385946751
"Vietnam","VN",2020,9,2483.21424739979,-0.86627120972,55.9452334704206,-7.52986241012573,62.1754359366633,-1.84896643239085,7.81730906748847,7.81730906748847,-0.86627120972
"Ethiopia","ET",2020,5,939.373963846247,-1.2395530701,50.470385104717,-6.81189305112579,455.095397750858,-11.6945822009563,6.84521365748201,6.84521365748201,-1.2395530701
"Madagascar","MG",2020,1,4.9549,-9.9,17616.3216944609,-438.650219132958,34634072.7989273,-287.827688886904,1.60037698594359,1.60037698594359,-9.9
