"","iso2","country.x","actual","est_baseline","est_BAU","est_lower_BAU","est_upper_BAU","est_TP","est_lower_TP","est_upper_TP","loss_BAU","loss_TP","baseline_PD","TP_PD","BAU_PD","deltaPD_TP","deltaPD_BAU","country.y","SovereignDebt","deltaTP","deltaBAU","lower_bound_cost_debt","upper_bound_cost_debt","TP_spread","baseline_spread","delta_spread","OAS_costofdebt_sov","Year","Median.income.or.consumption","Population..historical.","per_capita_increase_in_cod","per_capita_increase_in_cod_prop_to_annual_income","mymean"
"1","CA","Canada",20,19.4525916666667,19.2262,18.5629609176918,19.8894390823082,19.073325,18.6494318438964,19.4972181561036,0.00421739090234041,-0.6195088625,0.521748322816112,0.915162093651684,0.777245468973174,0.393413770835572,0.255497146157062,"Canada",996.3342887,0.379266666666698,0.2263916666667,0.302301107648788,0.453451661473182,0.70460803558512,0.700433516019434,0.00417451956568582,0.0415921698214181,2019,56.303295,37782931,1.10081903972506,0.00549202016300189,0.00549202016300189
"2","MX","Mexico",13,12.8673,12.9030583333333,12.2416958666848,13.5644207999818,12.8286083333333,12.4025479629958,13.2546687036708,0.00870550330728292,-0.85340380669,4.12108687426003,4.16036934056878,4.08476742621701,0.0392824663087472,-0.0363194480430176,"Mexico",715.3261016,0.0386916666667005,-0.0357583333333,0.0221417272648781,0.0332125908973171,1.56590569354192,1.55505834843892,0.0108473451029918,0.0775938908523297,2022,11.628478,128613113,0.60331243869612,0.0145736859243828,0.0145736859243828
"3","KR","South Korea",18,17.5841833333333,17.3588583333333,16.6951522760218,18.0225643906449,17.051075,16.6239325404374,17.4782174595626,-0.11100675911,-1.2146773338,1.4163665347246,1.46534282281953,1.43600805595909,0.0489762880949245,0.0196415212344836,"South Korea",846.207515,0.533108333333299,0.225325000000002,0.36089622238061,0.541344333570915,0.808116354082478,0.766694023297978,0.0414223307845009,0.350518875986605,2021,50.183186,51848401,6.76045681691524,0.037841453985257,0.037841453985257
"4","JP","Japan",16,16.0580416666667,16.0491166666667,15.3871841024646,16.7110492308688,15.9945166666667,15.5697418899058,16.4192914434275,-0.039166405797,-0.62992399931,1.67196525093742,1.69393501317619,1.67497816495757,0.0219697622387691,0.00301291402014914,"Japan",9028.49174,0.0635250000000003,0.0089250000000014,0.458827950226802,0.688241925340203,0.923092259472728,0.914889000411307,0.00820325906142094,0.740630566771191,2013,41.49211,127723641,5.79869600469025,0.0392567934561227,0.0392567934561227
"5","NG","Nigeria",6,6.543775,6.435575,5.77416348030684,7.09698651969316,6.19031666666667,5.76433096926985,6.61630236406348,-0.077327623963,-8.5420866013,9.19861436132801,10.0984214540228,9.44804711752421,0.899807092694749,0.249432756196205,"Nigeria",44.77241641,0.353458333333331,0.1082,0.0126601469468676,0.0189902204203013,4.77283999579638,4.52654892338549,0.246291072410888,0.110270464520457,2018,2.9532702,204938753,0.538065460564491,0.051177837809975,0.051177837809975
"6","US","United States",19,18.6502583333333,18.2825833333333,17.6110952168603,18.9540714498064,18.2471,17.7879391910002,18.7062608089998,-0.00707269972190261,-0.43385946751,1.18078066004825,1.31854623392137,1.30970632310336,0.137765573873122,0.128925663055103,"United States",26366,0.403158333333302,0.367675000000002,8.50373809333267,12.755607139999,0.729679997235283,0.714631167804242,0.0150488294310416,3.96777436778842,2022,62.40085,341534041,11.6175077487764,0.0522964811096612,0.0522964811096612
"7","CD","Democratic Republic of the Congo",4,4.67668333333333,4.80174166666667,4.13014563494229,5.47333769839104,3.4444,2.95568126286659,3.93311873713341,1.2638400793,-19.465463638,17.875476874482,31.9481550213803,16.912368639039,14.0726781468983,-0.963108235443006,"Congo, D.R.",3.014750778,1.23228333333333,-0.12505833333334,0.00297202171030647,0.00445803256545971,7.02156049772711,5.93690137572998,1.08465912199714,0.0326997693190567,2020,1.1797127,95989999,0.340658085839303,0.0811133706964129,0.0811133706964129
"8","PK","Pakistan",5,5.04156666666667,5.22030833333333,4.55825063805963,5.88236602860704,4.74978333333333,4.28843483652041,5.21113183014626,0.19437851012,-13.813931465,15.2562911480339,17.3038730379863,14.1725433554717,2.04758188995239,-1.08374779256224,"Pakistan",176.6383429,0.29178333333334,-0.17874166666666,0.0412320995886716,0.0618481493830074,5.87650030407288,5.63970561831015,0.236794685762733,0.418270209006555,2018,4.0731707,226928893,1.84317740891,0.127111408116769,0.127111408116769
"9","ET","Ethiopia",5,7.81498333333333,7.45163333333333,6.78140853119751,8.12185813546915,6.28710833333333,5.86326407622237,6.7109525904443,-0.32532665133,-12.395530701,7.48015659384322,9.82691373872773,7.79628468125874,2.34675714488451,0.316128087415519,"Ethiopia",21.85097599,1.527875,0.36335,0.026708447952577,0.0400626719288655,4.70445691853049,3.71695282495522,0.987504093575269,0.215779282387399,2015,3.0618846,103867140,2.07745474061767,0.190586772088241,0.190586772088241
"10","TR","Turkey",7,7.61101666666667,7.573575,6.7702230260605,8.3769269739395,6.406725,5.26538407997386,7.54806592002614,-0.07238534838,-2.0617301464,7.64522815930961,9.51825891800555,7.67883596542935,1.87303075869593,0.0336078061197345,"Turkey",204.7511345,1.20429166666667,0.0374416666666697,0.197264068015117,0.295896102022676,4.62092774900151,3.8390012513499,0.781926497651612,1.60100337489779,2021,19.567127,86686255,18.4689415282479,0.265133707348307,0.265133707348307
