"country","iso2","actual","est","est_lower","est_upper","baseline_estimate"
"Angola","AO",5,6.26910833333333,5.28203540680889,7.25618125985777,5.70073333333333
"Argentina","AR",2,5.37845833333333,3.80905753478533,6.94785913188134,3.93265
"Bangladesh","BD",8,6.40295833333333,5.74165538878406,7.06426127788261,7.96018333333333
"Brazil","BR",8,8.33885833333333,7.67660875634698,9.00110791031969,8.244725
"Canada","CA",20,19.2262,18.5629609176918,19.8894390823082,19.4525916666667
"China","CN",16,12.7129583333333,11.5633894307133,13.8625272359534,15.1035833333333
"Colombia","CO",11,10.1574166666667,9.48711345788218,10.8277198754512,10.5121583333333
"Congo D.R.","CD",4,4.80174166666667,4.13014563494229,5.47333769839104,4.67668333333333
"Egypt","EG",6,5.811975,5.15069217856433,6.47325782143568,5.97686666666667
"India","IN",11,9.17985,8.51780383937074,9.84189616062926,10.4046833333333
"Indonesia","ID",12,8.993,8.0669780214289,9.9190219785711,10.7762916666667
"Japan","JP",16,16.0491166666667,15.3871841024646,16.7110492308688,16.0580416666667
"Korea","KR",18,17.3588583333333,16.6951522760218,18.0225643906449,17.5841833333333
"Malaysia","MY",14,12.5896166666667,11.6072526057303,13.571980727603,13.308875
"Mexico","MX",13,12.9030583333333,12.2416958666848,13.5644207999818,12.8673
"Morocco","MA",11,9.67249166666667,9.00427902121992,10.3407043121134,10.3029
"Nigeria","NG",6,6.435575,5.77416348030684,7.09698651969316,6.543775
"Pakistan","PK",5,5.22030833333333,4.55825063805963,5.88236602860704,5.04156666666667
"Poland","PL",14,13.9281666666667,13.2667682729663,14.589565060367,13.9683583333333
"Russia","RU",11,11.6713333333333,10.9781724195185,12.3644942471482,11.6181583333333
"South Africa","ZA",9,7.999825,7.33444574070495,8.66520425929505,8.33541666666667
"Turkey","TR",7,7.573575,6.7702230260605,8.3769269739395,7.61101666666667
"United States","US",19,18.2825833333333,17.6110952168603,18.9540714498064,18.6502583333333
"Vietnam","VN",9,8.066525,7.39581281439727,8.73723718560273,8.52524166666667
"Ethiopia","ET",5,7.45163333333333,6.78140853119751,8.12185813546915,7.81498333333333
"Madagascar","MG",1,5.558475,4.8982929260303,6.2186570739697,5.60426666666667
